id,altitude,heading
3265ef91,35000,91
3265cea8,32975,92
3265ac16,37000,91
32657ea3,35000,92
32662398,22325,18
32658ba9,37025,92
32654117,32125,97
3265919c,35000,99
3266227a,26750,140
32658689,31000,92
326565fb,33000,92
3265e0b7,37000,76
3265e85d,33000,66
32662005,33100,88
32658417,37000,94
3265ef91,35000,91
3265cea8,32975,92
3265ac16,37000,92
32657ea3,35000,92
32662398,22325,18
32658ba9,37000,92
32654117,31300,98
3265919c,35000,99
3266227a,26750,140
32658689,31000,92
326565fb,33000,92
3265e0b7,37000,78
3265e85d,33000,66
32662005,33400,88
32658417,36975,94
3265ef91,35000,91
3265cea8,33000,92
3265ac16,37000,92
32657ea3,35000,92
32658ba9,37775,92
32654117,31300,98
32662398,24900,18
3266227a,30975,140
3265919c,34975,99
32658689,31000,92
326565fb,33000,92
3265e0b7,37000,78
3265e85d,32850,81
32662005,34225,87
3265ef91,35000,90
3265cea8,33000,92
3265ac16,37000,92
32657ea3,35000,92
32658ba9,38350,92
32654117,31300,98
32662398,24900,18
3266227a,30975,140
3265919c,35000,98
32658689,31000,92
326565fb,33000,92
3265e0b7,37000,78
3265e85d,32250,84
32662005,34475,87
3265ef91,35000,88
3265cea8,33000,92
3265ac16,37000,92
32657ea3,35000,92
32654117,27125,98
32658ba9,38825,92
32662398,24900,18
3266227a,30975,140
3265919c,35000,98
326565fb,33000,92
32658689,31000,92
3265e0b7,37000,78
3265e85d,31075,88
32662005,34750,87
3265ef91,35000,91
32659de5,33000,96
3265cea8,33000,91
3265ac16,37000,92
32657ea3,35000,92
32662398,24900,18
3266227a,30975,140
32658ba9,39000,92
32654117,26225,98
3265919c,34975,98
32658689,31000,92
326565fb,33000,94
3265e0b7,37000,78
3265e85d,30025,88
32662005,35000,87
3265cced,33025,92
32659de5,33000,92
3265ef91,35000,91
3265cea8,33000,88
3265ac16,37000,92
32657ea3,35000,92
32662398,24900,18
3266227a,30975,140
32658ba9,39000,92
32654117,26225,98
3265919c,35000,95
32658689,31000,92
326565fb,33450,94
3265e0b7,37000,77
3265e85d,29075,88
326545b5,36000,271
32662005,35000,87
3265cced,33025,92
32659de5,33000,91
3265cea8,33000,91
3265ef91,35000,91
3265ac16,37000,92
32657ea3,35000,92
32662398,24900,18
3266227a,30975,140
32658ba9,39000,92
32654117,26225,98
3265919c,35000,95
32658689,31000,92
326565fb,33450,94
3265e0b7,37000,78
3265e85d,26475,87
326545b5,36000,271
3265cced,33025,92
32659de5,33000,91
3265ef91,35000,91
3265cea8,33000,91
3265ac16,37000,92
32662af0,17000,63
32657ea3,35000,92
32662398,24900,18
3266227a,30975,140
32658ba9,39000,92
32654117,26225,93
3265919c,35000,95
32658689,31000,92
326565fb,34950,94
3265e0b7,37000,79
3265e85d,26475,87
326545b5,36000,272
3265cced,33000,91
32659de5,33000,91
3265ef91,35000,91
3265cea8,33025,91
3265ac16,37025,92
32662af0,17000,63
32657ea3,35000,92
32662398,24900,18
3266227a,30975,140
32658ba9,39000,92
32654117,26225,85
3265919c,35000,95
32658689,31000,92
326565fb,34950,94
326545b5,36000,271
3265e0b7,37000,79
3265e85d,26475,87
3265cced,33000,91
32659de5,33000,91
3265ef91,35000,91
3265cea8,33025,91
3265ac16,37000,92
32662af0,20750,63
32657ea3,35000,92
32662398,24900,18
3266227a,30975,140
32654117,26225,78
32658ba9,39000,94
3265919c,35000,93
32658689,31000,92
326565fb,35000,94
326545b5,36000,271
3265e85d,26475,87
3265e0b7,37000,79
3265cced,33000,91
32659de5,33000,91
3265ef91,35000,91
3265cea8,33000,91
3265ac16,37025,92
32662af0,20750,63
32657ea3,35000,92
3266227a,30975,140
32654117,26225,74
32658ba9,39000,93
3265919c,34975,92
32662398,29450,82
326545b5,36000,271
32658689,31000,92
326565fb,35000,94
3265e85d,26475,87
3265e0b7,37000,79
3265cced,33000,91
32659de5,33000,91
3265ef91,35000,91
3265cea8,33000,91
3265ac16,37000,92
32662af0,20750,63
32657ea3,35000,92
3266227a,30975,140
32654117,26225,72
32658ba9,39000,93
3265919c,34975,93
32662398,29925,88
326545b5,36000,271
32658689,31000,92
326565fb,35000,94
32658376,34000,271
3265cced,33000,92
32659de5,33000,91
3265ef91,35000,91
3265cea8,33000,91
3265ac16,37000,93
32662af0,20750,63
32657ea3,35000,92
3266227a,31025,140
32658ba9,39000,93
32654117,26225,72
3265919c,34975,93
326545b5,35650,271
32662398,30500,91
32658689,31000,92
326565fb,35000,94
32658376,33975,271
3265cced,33300,92
32659de5,33000,91
3265ef91,35000,91
3265cea8,33000,91
32662af0,20750,61
3265ac16,37000,92
32657ea3,35000,92
3266227a,31025,140
32658ba9,39000,93
32654117,26225,72
3265919c,34975,93
326545b5,35175,271
32662398,31300,91
32658376,33975,271
32658689,31000,92
326565fb,35000,94
3265cced,33600,92
32659de5,33000,91
3265ef91,35000,91
3265cea8,33000,92
32662af0,20750,58
3265ac16,37000,93
32657ea3,35000,92
3266227a,31025,140
32654117,26225,72
32658ba9,39000,93
326545b5,34175,271
3265919c,34975,93
32662398,32125,91
32658376,33975,270
3265cced,34125,92
32659de5,33000,91
3265ef91,35000,91
3265cea8,32950,92
32662af0,26675,63
3265ac16,37000,93
32657ea3,35000,92
326545b5,32650,271
32658ba9,39025,93
32654117,26225,72
3265919c,35000,93
3266227a,31000,140
32658376,33975,270
32662398,32500,89
3265cced,34575,92
32659de5,33000,91
3265ef91,35000,91
3265cea8,32700,92
32662af0,26675,63
3265ac16,37000,93
32657ea3,35000,92
326545b5,31550,271
32654117,26225,72
32658ba9,39000,93
32658376,34000,270
3265919c,35000,94
32662398,32900,90
3266227a,31000,131
3265cced,34975,92
32659de5,33000,91
3265ef91,35000,91
3265cea8,31975,92
32662af0,26675,63
3265ac16,37000,93
326545b5,30275,271
32657ea3,35000,92
32654117,26225,72
32658ba9,39000,93
32658376,34000,270
3265919c,35000,92
32662398,33275,92
3265cced,35000,92
32659de5,33000,91
3265ef91,35000,91
3265cea8,31525,92
32662af0,26675,63
3265ac16,37000,93
326545b5,29200,271
32657ea3,35000,92
32658376,34000,270
32654117,9175,77
32658ba9,39000,93
3265919c,34975,92
32662398,33675,92
3265cced,35000,92
32659de5,33000,91
3265ef91,35000,91
3265cea8,31025,92
32662af0,26675,60
3265ac16,37000,93
326545b5,28025,271
32657ea3,35000,92
32658376,34000,270
32654117,8150,77
32658ba9,39000,93
3265919c,34975,92
32662398,33850,92
3265cced,35000,92
32659de5,33000,91
3265ef91,35000,91
3265cea8,31000,92
32662af0,26675,57
3265ac16,37000,93
326545b5,26975,271
32658376,34000,270
32657ea3,35000,92
32654117,7450,77
32658ba9,39000,93
3265919c,34975,92
3265cced,35000,92
32659de5,33000,92
3265ef91,35000,91
3265cea8,31000,93
32662af0,26675,55
3265ac16,37000,94
326545b5,25900,271
32658376,34000,270
32657ea3,35000,92
32654117,6825,77
32658ba9,39000,93
3265919c,35000,92
3265cced,35000,92
32659de5,33000,92
3265ef91,35000,91
32662af0,26675,52
3265cea8,31000,93
326545b5,24750,271
3265ac16,37000,93
32658376,34000,270
32657ea3,35000,92
32654117,6275,78
32658ba9,39000,93
3265cced,35000,92
32659de5,33000,92
3265ef91,35000,91
32662af0,26675,49
3265cea8,31000,93
326545b5,23600,270
3265ac16,37000,94
32658376,34000,270
32657ea3,35000,92
32654117,5800,78
3265cced,35000,92
32659de5,33000,92
3265ef91,35000,91
3265cea8,31000,93
32662af0,33700,63
326545b5,22550,270
3265ac16,37000,94
32658376,34000,270
32654117,5250,77
32657ea3,35000,94
3265cced,35000,92
32659de5,33000,92
3265ef91,35000,91
3265cea8,31000,93
32662af0,33700,63
326545b5,21500,270
32658376,34000,261
3265ac16,37000,94
32654117,4800,77
32657ea3,35000,94
3265cced,34975,92
32659de5,33000,92
3265ef91,35000,91
326545b5,20550,270
3265cea8,31000,93
32658376,34000,258
3265ac16,37000,94
32662af0,34700,67
32654117,4450,79
32657ea3,35000,94
3265cced,34975,92
32659de5,33000,92
3265ef91,35000,91
326545b5,19425,270
3265cea8,31000,92
32658376,34000,255
3265ac16,37000,94
32662af0,35000,67
32654117,3875,79
3265cced,35025,92
32659de5,33000,92
326545b5,18425,270
3265ef91,35000,92
3265cea8,31000,89
32658376,34000,255
3265ac16,37000,94
32662af0,35000,67
32654117,3275,80
3265cced,35025,92
326545b5,17425,270
3265cea8,31000,93
32659de5,33000,92
3265ef91,35000,92
32658376,34000,255
3265ac16,37000,94
32662af0,35000,102
32654117,2775,80
3265cced,35025,92
326545b5,16525,270
3265cea8,31000,93
32658376,34000,255
32659de5,33000,92
3265ef91,35000,93
3265ac16,37000,94
32662af0,35000,102
32654117,2075,80
3265cced,35025,92
326545b5,16075,269
32658376,28050,272
32659de5,33000,92
3265ef91,35000,93
3265cea8,31000,93
32662af0,35000,104
3265ac16,37000,94
32654117,1600,79
3265cced,35000,92
326545b5,14950,232
32658376,28050,272
32659de5,33000,93
3265ef91,35000,93
3265cea8,31000,93
3265ac16,37000,94
32662af0,35000,104
326545b5,13975,208
3265cced,35025,121
32658376,28050,272
32659de5,33000,93
3265ef91,35000,93
3265cea8,31000,93
3265ac16,37000,94
32662af0,35000,104
326545b5,13975,208
3265cced,35000,121
32658376,24050,272
32659de5,33000,93
3265ef91,35000,94
3265cea8,31025,94
32662af0,35000,99
3265ac16,37000,94
326545b5,13975,208
3265cced,35000,121
32658376,24050,272
32659de5,33000,93
3265ef91,35000,94
3265cea8,31025,94
32662af0,35000,99
3265ac16,37000,94
326545b5,13975,208
3265cced,35000,121
32658376,24050,272
32659de5,33000,93
3265ef91,35000,94
3265cea8,31000,94
326545b5,13975,208
3265cced,35000,121
32658376,24050,272
32659de5,33000,93
3265ef91,35000,94
3265cea8,30975,94
32662af0,35000,99
326545b5,13975,208
3265cced,34975,121
32658376,24050,272
32659de5,33000,93
3265ef91,35000,94
3265cea8,31000,93
32659c15,33000,93
32658376,24050,272
3265cced,34975,121
32659de5,33000,93
3265ef91,35000,94
3265cea8,31000,94
32659c15,33000,93
32658376,24050,272
3265cced,35000,74
32659de5,33000,93
3265ef91,35000,94
3265cea8,31000,94
32659c15,33000,93
32658376,24050,272
3265cced,35000,74
32659de5,33000,93
3265ef91,35000,94
3265cea8,31000,94
326601a7,37000,92
32659c15,33000,93
32658376,16525,272
3265cced,35000,74
32659de5,33000,93
3265ef91,35000,94
3265cea8,31000,94
326601a7,37000,92
32659c15,33000,93
32658376,16525,272
3265cced,35000,74
32659de5,33000,93
3265ef91,35000,94
326601a7,37000,92
32659c15,33000,93
32658376,16525,272
3265cced,35025,83
32659de5,33000,93
3265ef91,35000,94
326601a7,37000,92
32659c15,33000,93
32658376,16525,272
3265cced,35025,91
32659de5,33000,94
3265c890,35000,88
326601a7,36975,92
32659c15,33000,91
32658376,16525,272
3265cced,35025,92
3265c890,35000,88
326601a7,37000,92
32659c15,33000,92
32658376,16525,272
3265cced,35000,92
3265c890,35025,91
326601a7,37000,92
32659c15,33000,92
32658376,16525,272
3265cced,35000,92
3265c890,35000,91
326601a7,37000,91
32659c15,33000,92
32658376,16525,272
3265cced,35000,92
326605ef,31000,103
3265c890,35000,91
326601a7,36975,91
32659c15,33000,92
32658376,16525,272
3265cced,35000,93
326605ef,31000,104
3265c890,35000,91
326601a7,36975,91
32659c15,33000,92
32658376,16525,272
3265cced,35000,94
326605ef,31000,104
3265c890,35000,91
326601a7,36975,91
32659c15,33000,92
3265cced,35000,94
326605ef,31000,105
3265c890,34975,91
326601a7,37000,91
32659c15,33000,92
3265cced,35000,94
326605ef,31000,105
3265c890,34975,91
326601a7,36975,91
32659c15,33000,92
3265cced,35000,94
3265c890,35000,91
326601a7,36975,91
32659c15,33000,92
3265cced,35000,94
3265c890,35000,91
326601a7,37000,91
32659c15,33000,92
3265c890,35000,91
326601a7,36975,91
32659c15,33000,92
3265c890,35000,91
326601a7,36975,91
32659c15,33000,92
3265c890,35000,91
326601a7,36975,91
32659c15,33000,92
3265c890,35000,91
326601a7,37000,91
32659c15,33000,92
3265c890,35000,91
326601a7,36975,91
