id,altitude,heading,latitude,longitude
327b1463,37975,273,41.716,37.678
327b1959,40000,272,41.687,38.369
327b0897,36000,273,41.676,38.791
327be891,0,180,43.442,39.928
327c4690,0,239,43.442,39.928
327c67f0,0,271,43.442,39.928
327bfbc0,0,180,43.442,39.928
327c3557,0,338,43.444,39.932
327c0081,0,244,43.444,39.934
327c6f96,0,65,43.446,39.94
327c7120,0,233,43.447,39.942
327c1777,0,338,43.45,39.948
327c6d09,0,61,43.449,39.951
327c6e52,0,271,43.444,39.953
327c74f8,0,334,43.451,39.955
327bd39d,35000,77,41.823,40.785
327bd4aa,35000,93,41.775,41.142
327bbe0e,39025,71,41.912,41.261
327bf25b,38000,270,43.684,41.399
327b1463,37975,273,41.72,37.582
327b1959,40000,272,41.69,38.301
327b0897,36000,273,41.68,38.695
327c764b,0,180,43.442,39.928
327c4690,0,239,43.442,39.928
327c67f0,0,271,43.442,39.928
327bfbc0,0,180,43.442,39.928
327c3557,0,338,43.444,39.932
327c0081,0,244,43.444,39.932
327c7120,0,248,43.447,39.942
327c6f96,0,61,43.447,39.943
327c1777,0,338,43.45,39.948
327c6d09,0,64,43.45,39.953
327c74f8,0,244,43.451,39.953
327c6e52,0,271,43.444,39.953
327bd39d,35000,74,41.844,40.898
327bd4aa,35000,94,41.77,41.242
327bf25b,38000,270,43.684,41.327
327bbe0e,39025,71,41.939,41.368
327b1463,37975,273,41.723,37.519
327b1959,40000,272,41.694,38.174
327b0897,36000,273,41.684,38.599
327c764b,0,180,43.442,39.928
327c4690,0,239,43.442,39.928
327c67f0,0,271,43.442,39.928
327bfbc0,0,180,43.442,39.928
327c0081,0,239,43.443,39.93
327c3557,0,338,43.444,39.932
327c7120,0,155,43.446,39.941
327c6f96,0,63,43.448,39.946
327c1777,0,338,43.45,39.948
327c74f8,0,233,43.45,39.951
327c6e52,0,271,43.444,39.953
327c6d09,0,188,43.449,39.954
327bd39d,35000,71,41.87,41.009
327bf25b,38000,264,43.681,41.248
327bd4aa,35000,94,41.764,41.351
327bbe0e,39025,94,41.713,41.952
327b1463,37975,273,41.726,37.423
327b1959,40000,272,41.696,38.087
327b0897,36000,273,41.676,38.767
327c764b,0,180,43.442,39.928
327c4690,0,239,43.442,39.928
327c67f0,0,271,43.442,39.928
327bfbc0,0,180,43.442,39.928
327c0081,0,227,43.442,39.928
327c3557,0,64,43.444,39.932
327c7120,0,250,43.445,39.94
327c1777,0,338,43.45,39.948
327c74f8,0,244,43.449,39.948
327c6f96,0,71,43.449,39.95
327c6d09,0,244,43.448,39.951
327c6e52,0,271,43.444,39.953
327bd39d,35000,68,41.899,41.118
